"MAT_NOVA_MATRICULA","ALU_ANO_INGRESSO","ALU_PERIODO_INGRESSO","Álgebra Linear I","Álgebra Vetorial e Geometria Analítica","Cálculo Diferencial e Integral I","Cálculo Diferencial e Integral II","Engenharia de Software I","Estrutura de Dados e Algoritmos","Fundamentos de Física Clássica","Fundamentos de Física Moderna","Gerência da Informação","Introdução à Computação","Lab. de Estrutura de Dados e Algoritmos","Lab. de Org. e Arquitetura de Computadores","Laboratório de Programação I","Laboratório de Programação II","Leitura e Produção de Textos","Lógica Matemática","Matemática Discreta","Métodos Estatisticos","Org. e Arquitetura de Computadores I","Paradigmas de Ling. de Programação","Probabilidade e Estatistica","Programação I","Programação II","Sistemas de Informação I","Teoria da Computação","Teoria dos Grafos"
"07ad78385e647388bf18a98f5673437c",2009,2,NA,8.8,7,NA,NA,NA,0,NA,NA,5.6,NA,NA,7.5,6.4,6.2,NA,NA,NA,NA,NA,NA,7.4,8,NA,NA,8.3
"07cd9a7733488ef400803ac38d09ad62",2009,1,NA,5,7.3,5,8.7,5.9,5,9.4,8.7,7,7.3,8.7,7.4,7.1,8.3,7.4,5.9,8.6,7.4,8.1,5.7,8.1,7.3,7.9,6.2,5.6
"080d13402abb160d2bdc3e9d2647f1a4",2006,1,NA,5.5,7.2,NA,8.5,9.3,5.9,7,9.2,9.2,9.3,6.1,6.2,9,9.7,8.8,6.1,5.3,7,7.7,6.5,6.1,8.7,9.9,5.9,7.8
"08149b9a4f741366120bf63ee3b0f8e3",2012,1,NA,5.7,5.6,2.9,NA,5,7.6,NA,7.3,7.5,5.2,NA,7.1,7,8.3,NA,7.2,NA,NA,NA,NA,7.1,7,NA,NA,7.6
"081a0693c9f75320d990887a3ff66f2c",2005,2,NA,7.4,6,NA,7.7,7.5,5.2,5,8.5,8,8.4,8.3,7.4,8.7,7.6,8.5,9,7,8.2,5.4,7.2,7.6,7,9,8.2,7
"081e9bfca4a6e28b6b7feea3dd06b62d",2001,1,NA,8.3,8.3,NA,8.7,7.8,8.2,8.1,8.1,7.8,8.3,8.9,8.3,9,9.3,9.3,8.4,7.3,7.4,9.1,9,7.3,9.1,7.2,8.3,8.7
"089ba9543a1c8c153717c3788dee8269",2004,2,NA,7.8,5.5,NA,9.7,7.1,5,8.3,8.9,8.2,7.9,8.8,8,8.5,8.8,8.8,9,8.5,8.2,7,5,6,6.9,8.8,7.7,8.6
"08ab1cc40d490dbee3c85fac72a735d5",2013,1,7.7,9.2,8,9,7.1,7.4,7.8,8.7,8.8,8.7,7.1,8,7,7,7.8,8.3,7.1,7,7.6,7.3,8.1,7,7,8,8.4,7.1
"08d563f5639a97329840ddca30f2f185",2014,1,5,8.3,5.1,7,NA,6.3,NA,NA,7.2,8.6,7,NA,7.2,8.5,7.8,7.1,8.3,NA,NA,5.6,3.4,7.2,8.4,8.8,6.2,8.8
"0944ea70e8915928f377f43823c2923d",2006,1,NA,NA,NA,NA,8.4,9.6,10,10,8.5,NA,9.4,10,NA,9.4,NA,9.9,10,9.4,9.4,8.8,10,NA,9.9,9.5,10,9.8
"0954ebde9355677b061fa6fb93b99e5b",2005,2,NA,7.3,5.8,NA,7.6,5.1,6.1,9.3,7.8,9.2,6.2,6.2,6.7,8.1,7.3,7.6,6.1,5.1,7,6,NA,6.2,6,8.1,5.1,5.6
"09663c89d109df009c2f3be856add48d",2011,1,NA,7,6,5.6,NA,7,5.3,NA,6.6,8.3,7,NA,8.3,7,8.3,6.7,8.1,NA,NA,8.8,NA,8.2,6.8,8,7.6,7.5
"09eabe1ac49b26374d2bacbaba848904",2011,1,6,7,7.5,8.2,7.2,5.6,7,8.7,8.1,9.2,7.9,7.6,5.9,8,6.5,7,5.7,7.7,7,7.6,5.4,7.3,7.1,8.9,5.8,6.9
"0a40555caf47c6f145dab4b974b8ffa2",2002,2,NA,NA,2,NA,NA,5.4,5.8,NA,9.2,7,7,NA,7.8,8.6,NA,NA,6.2,NA,NA,NA,NA,7.4,8.3,7.6,8.9,6.1
"0a622c0d13d7fe04667e0243b963be63",2003,1,5.2,6.9,7,NA,7.5,5.1,5,8.3,7.8,7.7,7.8,8.9,7.9,7,8.5,6,7.3,5,7.7,8.7,7.7,7.3,5,7.9,8.9,6.2
"0ac24c4b9e6bace868a52ddc52bad4e7",2013,1,7,7.4,8.5,7.4,7.8,8.6,8.3,8.6,7.4,8.8,9.4,10,9.6,8.9,8.2,8.5,8.7,NA,8.6,8.3,8.6,9.6,8.8,9.8,9.1,9.8
"0adda5c8edbf857bf67ebee8462a2dd8",2012,2,7,5.3,6.2,6,5,5,7.7,8.3,7.7,5.7,5.2,9,5.1,7.8,5.4,5.7,7.8,5.3,5,7.1,5.5,5.4,6.4,6.4,5,7.4
"0ae0250145cedde4494c0f4cdd95425c",2012,1,NA,7,6.9,1.9,NA,6.7,7.6,NA,7.7,7.3,7,NA,5.5,6.3,8,NA,6.2,NA,NA,NA,NA,5.5,7.2,NA,NA,7
"0b285e81dc0b209c90dc3a6e5f209515",2001,1,NA,8.6,7.5,NA,8,7.8,8.7,10,8,9.8,7.8,9.5,9.2,9.4,8.5,8.9,8.9,8,8.2,9.5,8,9.4,9.5,8.2,8.5,8.6
"0b7acb37d4e721c4873bb09b47a26ff7",2005,2,NA,5,5,NA,8.1,5,5.5,8.6,5,5.9,7,5.6,8.8,9.1,7.6,5,5.7,6,5.1,5.6,5,7.4,5,7.9,6.1,6.1
"0b99ec9f5b47d9e29dda1480d6064f6b",2002,2,0,5.2,6.3,NA,NA,5,3.9,NA,7.1,6.1,5.3,NA,5.8,NA,6.2,0,NA,NA,NA,0,6.2,7.4,NA,8.8,7.2,NA
"0b9d9a1d9024d662ab9dd7539738d13d",2009,1,8.3,9.2,7.5,7,7,8.4,7,9.4,8.3,8.6,8.9,7,8.5,8.5,8.5,8,7.4,7,8.6,8,7.4,7.3,7.8,9.6,5.6,6.8
"0bd6f382d3a9d11489330d7c8f9821e8",2011,1,7.9,7.2,7.7,7.2,9.7,7,7.2,8.1,7.9,7,7,9.5,8.7,6.5,9.2,8.5,7,8.4,8.2,8.3,5,9,7.3,8.7,7.7,8.3
"0c222ed5de48a5c6d01bcb08fe4df6f7",2007,2,5.5,9.1,6.6,5,6.5,5,5.1,7,8.2,7.9,5.6,7,5.3,8.9,9,5.7,5.4,5.5,5.9,8.5,6.5,5,8.3,8.3,6.7,7.1
"0c8b0de213cd62229f4147ba4911df55",2013,1,1.9,5,5.2,3.4,NA,1.6,7,NA,3.9,7,NA,NA,7.1,5.5,8.5,NA,7.1,NA,NA,NA,NA,7.1,5.1,NA,3.9,5.3
"0cc0443696f0e4b9c0cfb511b9cbcc81",2013,1,6,5.5,5.5,6.5,7.1,6.5,5.9,7.5,7,7,6,8.3,7,7.6,7.2,7.2,5.1,5.2,7,7.2,NA,5.1,7.8,7.4,7.8,8
"0d281f2b4b5ffb6ff53ca56ff2a1f8f6",2009,1,5.1,NA,NA,NA,NA,7.3,8.3,8.5,7.7,7.8,7,10,7.6,5.1,7.7,NA,7.6,NA,7.6,NA,2.2,5.7,6.7,7.9,0,5.9
"0dcc4bb3d89c2fe2416d162092045abc",2010,2,5,5.3,5.8,7,NA,8.2,5.3,1.5,5.3,8.5,7.8,NA,7.4,7,7.5,8.5,6.5,NA,NA,7.6,1.3,7.2,7.2,6.6,8.9,7.3
"0deb8102893964707228b0de6ad5e8e3",2011,1,7.9,8.6,5.6,5.2,7.9,7.4,7.8,7.3,5,7.8,7.2,7,7.7,7.3,NA,5.3,6,7,7.7,8.6,7,7.7,6.6,7.8,6.9,7.5
"0e78671e832d639caa1bdf84cf207055",2010,1,5.8,7,8.5,5.3,5.6,7,7.6,8.3,7.6,9.6,9,9.2,8.1,8.4,6.5,7,7.4,6,7.3,9.3,6.4,7.5,9,9.7,7.4,7
"0e8b016efccd27d4c31991bf9207e45b",2014,1,6.3,5,5,5,NA,6.2,6.5,7,7.1,6,5.9,8.8,8.4,7.8,NA,7.1,7,8.5,8.2,8.9,7.1,8.4,7.4,9.5,7.4,8
"0ecc22b2626549465d2cbbd98cbd4dd9",2010,1,5.8,5.5,5.4,5.9,9,7,7.2,8.5,8.3,9.3,7.3,9.9,8.6,9.5,9,6.4,5.2,5.2,8.4,6.7,5,8.5,8.2,8.6,5.6,6.3
"0ef0229940a73e8a8252b123db66b060",2013,2,NA,NA,5.6,7,NA,6.5,8.2,5.1,5,7.3,5,NA,9,7.7,7.2,8.1,5.5,NA,NA,7.5,NA,9,7,8.5,7,5
"0f2c1d48cd3572af2c4d9f927d16ffcd",2004,1,NA,7.5,6.9,NA,7.6,7.2,NA,5,7.2,7,7.1,9.3,7.7,8.2,8.4,7,7.7,5.6,7,8.2,7.5,8.2,7.9,7.8,7,8.3
"0f8ab45ac9a20e68b41f79a7764c0b97",2013,2,5.6,5.7,6,5.1,NA,3.5,3.8,NA,5.7,6.5,NA,NA,8.7,8.4,NA,5.9,6,NA,NA,NA,NA,8.7,7.4,7,5.4,7
"0fad523f4438362878952efb3d541259",2012,1,NA,3.4,NA,NA,NA,5,NA,NA,6.5,7.2,5.7,NA,8.2,7.6,8,NA,5,NA,NA,NA,NA,8.1,7.4,NA,NA,7.7
"0fd05d17970edd36467a3acaf38fd6a3",2010,2,NA,8.2,7.1,6.1,NA,5.1,7.8,NA,NA,8,7.1,NA,9,7,8.5,7.4,5.7,NA,NA,7,NA,8.9,7.7,NA,5,5
"104797e68d7235c0388eafe1ad126fdf",2008,2,5.5,NA,NA,6.3,8,6.2,7,9,8,8.2,5,7.9,5.9,7.9,NA,7,7.8,5.6,7.6,8.5,7.8,7,7.6,7.8,5,6.4
"105fa11ce06936d086f41e3b7619fa30",2012,2,5.1,6.2,5.8,7.5,NA,6.3,8.6,5.8,6.2,8.2,NA,NA,8.8,8.1,7.3,6.1,7.6,NA,NA,9.8,7.4,8.8,8.4,6.2,9.7,9.3
"106c2f723add59a759a89da68a324b44",2003,1,7.7,7.6,7.1,NA,7,8.3,7.3,8.2,8.1,9.3,8.3,8.8,9.1,8.7,8.5,7.8,10,NA,8.2,9.1,9.3,6.6,8.2,8.8,8.9,7.2
"106eb6f090d71de31978a708b0b764ed",2010,1,7.6,7.7,6.6,7.2,8.9,8.2,9.1,8.2,7.6,8.8,7.2,8.1,7,9.4,9,8.7,7.4,9,8.4,7.8,6.9,6.3,8.2,9.2,7,7.2
"1098797d5eaa9789e15035d2e3b5c6d0",2011,1,5,7,6,5.1,7,5.1,7.2,NA,5.8,9,5.1,NA,8.6,7.7,NA,5.6,7.9,5,NA,5,5.2,8.5,9.4,5.3,8,7
"10eb9e8cbe0ac579a7c9736cf50c506a",2007,2,5.3,9.4,7.6,NA,7.8,6.5,7,7.4,8.4,9.3,8.7,7.2,8.8,9.5,10,8,7,7.1,9.5,6.9,5,8.4,9.4,9.5,7.3,7
"10f4d7cddf011ceae97b2afb9e9bf698",2014,2,NA,0.2,0.3,NA,NA,NA,NA,NA,NA,7.7,NA,NA,6.7,6.2,3.7,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
"118c5069a6e0d0d4d8f70c48ed951201",2013,1,5,6,7.6,5.9,NA,6.7,7.8,NA,6.2,7.9,5,NA,8.7,7.1,7.5,6.4,8,NA,NA,6,NA,8.7,7.7,7.9,5,5.5
"118fb2cfc3d85369a68d60a4e496b961",2000,2,NA,7.2,6.4,NA,8.5,5.1,5.3,7.5,7.3,6.2,5.7,8.4,7,9,7,5,NA,7.8,7.9,8.1,5.3,8.5,7.7,5.4,5.7,7
"11d3d15d18ee268e8dc2c322923afc65",2006,1,5.1,6,5.9,NA,7,7.5,7.9,5.6,8.1,7.9,8,9.9,8.3,8.4,8.6,6,5.5,5.5,6.9,7,8,7.7,7.9,8.5,5.1,5
"120cc726ea3ac2acfc5e3bf04a77620d",2000,1,NA,9.2,8,NA,7,7.3,6.3,7.3,8.8,7.1,7.1,8.5,7.5,7.4,8.3,5.9,NA,7,7,5.7,7,10,7.3,7.5,6,6.6
"12898858d4e8ee4f715f8124ea64b744",2012,1,NA,5.1,5.6,NA,NA,5.2,NA,NA,5.1,5.7,6.5,NA,8.9,7,6.3,7.9,8.9,NA,NA,10,NA,8.9,7.2,7.4,5.6,5.3
"129d20698a8b14511b0365f6c162645a",2011,1,7.6,9.6,9.9,9.7,8.6,10,7.7,7.6,8.1,10,10,9.7,10,9,8.8,8.5,10,8.8,8.9,8.6,8.7,10,9.6,9.9,10,10
"12a59897f8829ef317070e59c2e4917e",2000,1,NA,9.5,8.3,NA,8.7,8.5,NA,8.5,8.7,8.7,9.1,9.9,9.6,9.3,9.5,8.7,7,8.8,8.9,8.7,7.5,9.1,8.3,8.3,9.1,9.7
"12af595dca880ff7a2755c426f9262ee",2012,1,5.8,5.8,8.7,6.4,8.2,6.7,7,8.3,7.8,8.1,5.1,7.7,5.5,7,7.2,5.1,7,5.7,7.1,7,7,6.2,6.4,8.5,5,5.1
"12ba2d3430e1b1ba5a25c6c459f3191d",2010,2,NA,NA,8.8,7.4,9,8.7,NA,8.2,7.9,9.8,9,10,9.2,9.4,9,NA,8.6,7.8,7.9,8.3,5.4,9,8.8,9,7,9.9
"135a8e0c0ff7de3947f35d3d2771cd34",2013,2,6.5,6.1,5.3,6.5,5,5.4,7.2,7.1,7,8.8,5.5,8.1,7.2,5,8.3,5.6,5.4,5,7.9,7,5,7.3,5.7,5.1,6.1,8.3
"13c67604ebde753871fac514520ac8fb",2002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"143ce68f43ac4989f4d1ba1f452a599a",2011,1,6.1,7.3,6.1,5.1,7.3,8.4,5.8,8.3,7.2,9.3,7.7,7.7,8.9,7.4,7.3,7.1,7.6,6.5,6.3,7.2,5.3,8.8,8,7.3,6.6,8.5
"14def819975f98e6705cdc3ff23e88a2",2003,1,NA,8.7,8.5,NA,9.4,8.6,8,9.5,8.9,9.6,7.7,8.9,8.2,7.6,8,8.6,8.7,7.5,8.5,8,7,6.3,5.2,8.6,7.5,7.5
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",2003,2,NA,7,5,NA,6.8,5.1,NA,8.6,7,8.2,6.3,9.1,7.4,7.1,7.2,8.4,6.9,8.1,8,7.8,8.7,7.6,5,8.5,8,7
"14f951cd83d4ae258bb8c5cca07a02be",2011,2,8.1,7,7.8,6.3,7.7,5.1,7,8.3,7.1,7.4,7.4,7.8,8.3,7.2,7,7.4,5.5,7,7,7,7.2,7.2,7.4,7,8.3,7
"14ffb9482281c4f008cbfe94601e44dd",2007,2,5,5.2,5,5,NA,5,8.2,7.7,8.3,5,5,7,5,7.3,8.1,5.1,5,NA,7.1,5.6,2.2,5,5.2,7.9,5.5,5
"15204bced3002af18ad3e3d11b30e2e0",2009,1,6.1,6.4,9.5,5.4,6.6,6.6,5,8.3,7.7,7.5,7.9,7.1,7,8.2,8.5,7,5,5,7.6,7,6,5,6.7,9.3,7.2,5.1
"15b7acf71b912f024ec78f5f2f8213d2",2013,1,7.7,7.3,7.3,6.2,7,6.1,7.9,7.2,8.7,8.8,7.6,7.5,6.2,7.5,8.5,8,7.1,8.7,7.1,7,5,6.2,7,7.7,5,7.9
"15d3f7b4086cc6b00b0bb6d7770e6177",2012,1,5.5,7.9,7,5,8,7,8.9,7.4,5.4,7.9,7.2,7,5,7.2,8.3,7,7.1,6,7.9,7,7,5.1,5.5,8.2,5.9,5.7
"15d56fee3ce05ea5a09f21114a5599b0",2008,2,7,9,9.3,7.2,7.1,7.2,9,7.9,8,9.1,8.9,7.1,9,8.9,7.3,5,7.7,6.4,7.2,5,7.2,7.6,9.3,7.5,7.2,7.5
"15f897ab047849b0452f60b1b5b70f0a",2007,2,6.5,9.3,7.8,NA,9.2,6.4,7,8.7,7.6,8.1,7.3,7.1,7.5,9,10,7.6,6.2,7.2,8.5,6.5,7,7,8,8.6,5,7.1
"162ba4623043d22e25138e746bd22437",2012,1,6.3,5.8,6.7,5.3,NA,7.1,8.4,7,7,8.1,7.3,NA,5.2,6.4,8.2,7,7,NA,NA,7,6.1,5.2,7.2,7.1,5.1,7.2
"1649d9acbda10ed06aad23097ae91fb6",2011,1,7.4,9.6,7.2,6.1,7,7.8,7.9,7.5,7.4,9.9,7.1,5.6,9,7.7,8,8.2,5.1,7,8.1,7,6,8.9,8.5,7.6,7,8.4
"16a54a2de6abe900b4af148f1f72c898",2000,2,NA,7.3,6.4,NA,7.3,6,NA,7.6,9,8.7,7.6,7.2,9.2,7.6,7.5,5.7,6,5,7.4,8.1,NA,8.3,7.8,8.3,5.7,7.5
"16d8242fb15fcb7ba13d27072b6e30ea",2008,2,6.5,8.3,5.3,5.8,9,7,7.4,8.3,8.5,9,5.8,8.9,7.8,7.9,7.6,7.6,6,6,7,7.7,5,7.4,7.9,7.1,5.1,6.3
"1700a36970869bc4779dd4c2b33e8afb",2002,2,NA,5.5,7.5,NA,7.5,7,7.6,9.1,9.3,8.9,7.9,8.9,7.9,8.3,7.8,7,8.4,NA,8.9,8.3,7,6.7,7,7.8,7.3,5.7
"17366ffb69373de1845b80fe234f10ba",2012,1,NA,5.8,5,5,NA,5.2,8.2,NA,5,8.1,7,NA,8.1,7.2,7.5,NA,5,NA,NA,7.6,NA,8.1,7.3,7.4,NA,7.9
"17868399ff18ad1d2425e3d3c97376d5",2011,1,7.7,8.6,7.3,7,7.7,8,7.2,7.9,7,8.9,8.5,0,9.3,7,7.8,8.1,7.6,8.7,0,8.8,7.3,9.3,9,0,6.8,9.8
"1803dbb78c47faed276cdb610ac4991b",2002,1,NA,7.6,7,NA,6.1,5.1,6.4,8.1,6.1,7.8,7.2,8.6,7,9.6,8.8,8.2,8.7,6.5,7.4,7.5,5.5,5.8,6.5,8.3,6.5,8.5
"184fb7d3a6750d797411dcfb1a81ac36",2010,2,5.7,7,6.3,5.5,7.5,6.6,5.1,8.7,5.7,7.4,5.4,7.8,7.1,7.8,7.6,7.2,5.8,7.6,8,7,5.8,7,7.3,8.3,NA,7
"18ac9c93d19988fad099f94d90d29c6d",2014,1,7.7,5.7,6.4,5.2,8.2,7,7.3,5.3,5.5,7.1,7,7.5,7.7,7.6,7.3,7,7.5,6.5,7.1,6.9,5.4,7.6,7.8,8.2,6.5,7
