"MAT_ALU_MATRICULA","MAT_TUR_DIS_DISCIPLINA","disciplina","MAT_TUR_ANO","MAT_TUR_PERIODO","MAT_MEDIA_FINAL","EVADIU"
"9701c503a91519a2bf39ab0838006de2",1109103,"Cálculo Diferencial e Integral I",2004,1,6.7,FALSE
"9701c503a91519a2bf39ab0838006de2",1411167,"Programação I",2004,1,9.1,FALSE
"9701c503a91519a2bf39ab0838006de2",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.3,FALSE
"9701c503a91519a2bf39ab0838006de2",1411180,"Laboratório de Programação I",2004,1,8.2,FALSE
"9701c503a91519a2bf39ab0838006de2",1307151,"Leitura e Produção de Textos",2004,1,7.9,FALSE
"9701c503a91519a2bf39ab0838006de2",1411174,"Introdução à Computação",2004,1,8.2,FALSE
"469bd7e6d40d71855681684120b09896",1109103,"Cálculo Diferencial e Integral I",2004,1,NA,TRUE
"469bd7e6d40d71855681684120b09896",1411167,"Programação I",2004,1,NA,TRUE
"469bd7e6d40d71855681684120b09896",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,NA,TRUE
"469bd7e6d40d71855681684120b09896",1307151,"Leitura e Produção de Textos",2004,1,NA,TRUE
"469bd7e6d40d71855681684120b09896",1411174,"Introdução à Computação",2004,1,NA,TRUE
"190d045c609f223df26bce7382e57ae7",1109103,"Cálculo Diferencial e Integral I",2004,1,7.2,FALSE
"190d045c609f223df26bce7382e57ae7",1411167,"Programação I",2004,1,9,FALSE
"190d045c609f223df26bce7382e57ae7",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.8,FALSE
"c1d6342086db6d65c083d692d4e2392c",1109103,"Cálculo Diferencial e Integral I",2004,1,5.8,FALSE
"c1d6342086db6d65c083d692d4e2392c",1411167,"Programação I",2004,1,8.2,FALSE
"c1d6342086db6d65c083d692d4e2392c",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.9,FALSE
"c1d6342086db6d65c083d692d4e2392c",1307151,"Leitura e Produção de Textos",2004,1,8.3,FALSE
"c1d6342086db6d65c083d692d4e2392c",1411174,"Introdução à Computação",2004,1,9,FALSE
"03eb1356c70676875bed4c509c3ec0ff",1109103,"Cálculo Diferencial e Integral I",2004,1,6.3,FALSE
"03eb1356c70676875bed4c509c3ec0ff",1411167,"Programação I",2004,1,3.8,FALSE
"03eb1356c70676875bed4c509c3ec0ff",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.5,FALSE
"03eb1356c70676875bed4c509c3ec0ff",1411180,"Laboratório de Programação I",2004,1,3.9,FALSE
"03eb1356c70676875bed4c509c3ec0ff",1307151,"Leitura e Produção de Textos",2004,1,6.2,FALSE
"03eb1356c70676875bed4c509c3ec0ff",1411174,"Introdução à Computação",2004,1,7.6,FALSE
"f4df59a8c12585230eb5f12825865a34",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,9.3,FALSE
"405a10983c33dba15bdaad6e806e38c6",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,9,FALSE
"405a10983c33dba15bdaad6e806e38c6",1307151,"Leitura e Produção de Textos",2004,1,8.6,FALSE
"405a10983c33dba15bdaad6e806e38c6",1411174,"Introdução à Computação",2004,1,9.3,FALSE
"4fadad084329895f30ef90aa56b4142e",1411167,"Programação I",2004,1,8.7,FALSE
"4fadad084329895f30ef90aa56b4142e",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.2,FALSE
"4fadad084329895f30ef90aa56b4142e",1307151,"Leitura e Produção de Textos",2004,1,8,FALSE
"4fadad084329895f30ef90aa56b4142e",1411174,"Introdução à Computação",2004,1,8.8,FALSE
"6c2d4e5cce23ca5eec4ab24ed0d818d3",1411180,"Laboratório de Programação I",2003,2,8.8,FALSE
"6997fbf7c7a1a62775e30cc18cfc4b60",1411180,"Laboratório de Programação I",2003,2,7.4,FALSE
"f36f436553e8528d473217f3238a7804",1411180,"Laboratório de Programação I",2003,2,8,FALSE
"8f1f1232b27639960bafce2c17a4a7cf",1411180,"Laboratório de Programação I",2003,2,8.9,FALSE
"c6d323c3005e8c754022ade2c1389215",1411180,"Laboratório de Programação I",2003,2,3.6,FALSE
"bc43766b2134ab22d3a9cfab7637f617",1411180,"Laboratório de Programação I",2003,2,4.3,FALSE
"b0097a01d0579cdd20b15c03b62d7309",1411180,"Laboratório de Programação I",2003,2,8.3,FALSE
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",1411180,"Laboratório de Programação I",2003,2,7.4,FALSE
"b8625f03fbd684818939e6c492bb66b2",1411180,"Laboratório de Programação I",2003,2,5.4,FALSE
"249485afb66b1f17d5a21a903189692a",1411180,"Laboratório de Programação I",2003,2,8,FALSE
"3d062df814e8e7a031ba15db660d1f53",1411180,"Laboratório de Programação I",2003,2,7.6,FALSE
"3c623f01f0c1153c09448baa59715505",1109103,"Cálculo Diferencial e Integral I",2004,1,7.6,FALSE
"3c623f01f0c1153c09448baa59715505",1411167,"Programação I",2004,1,8,FALSE
"3c623f01f0c1153c09448baa59715505",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.5,FALSE
"3c623f01f0c1153c09448baa59715505",1307151,"Leitura e Produção de Textos",2004,1,7,FALSE
"3c623f01f0c1153c09448baa59715505",1411174,"Introdução à Computação",2004,1,7.9,FALSE
"0ba1fd69472a3ac790318f7ebc3accd5",1411167,"Programação I",2004,1,0,FALSE
"0ba1fd69472a3ac790318f7ebc3accd5",1411180,"Laboratório de Programação I",2004,1,NA,FALSE
"0ba1fd69472a3ac790318f7ebc3accd5",1307151,"Leitura e Produção de Textos",2004,1,NA,FALSE
"a2cc0ff8262134a5aaa6f93821b3d12d",1109103,"Cálculo Diferencial e Integral I",2004,1,NA,TRUE
"a2cc0ff8262134a5aaa6f93821b3d12d",1411167,"Programação I",2004,1,NA,TRUE
"a2cc0ff8262134a5aaa6f93821b3d12d",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,NA,TRUE
"a2cc0ff8262134a5aaa6f93821b3d12d",1411180,"Laboratório de Programação I",2004,1,NA,TRUE
"a2cc0ff8262134a5aaa6f93821b3d12d",1307151,"Leitura e Produção de Textos",2004,1,NA,TRUE
"a2cc0ff8262134a5aaa6f93821b3d12d",1411174,"Introdução à Computação",2004,1,NA,TRUE
"7eca94c838556e00af5e0d9ad5a3fcff",1109103,"Cálculo Diferencial e Integral I",2004,1,8.5,FALSE
"7eca94c838556e00af5e0d9ad5a3fcff",1411167,"Programação I",2004,1,6.9,FALSE
"7eca94c838556e00af5e0d9ad5a3fcff",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.7,FALSE
"7eca94c838556e00af5e0d9ad5a3fcff",1411180,"Laboratório de Programação I",2004,1,6.2,FALSE
"7eca94c838556e00af5e0d9ad5a3fcff",1307151,"Leitura e Produção de Textos",2004,1,7.6,FALSE
"7eca94c838556e00af5e0d9ad5a3fcff",1411174,"Introdução à Computação",2004,1,8.4,FALSE
"f4df59a8c12585230eb5f12825865a34",1411167,"Programação I",2004,1,0,FALSE
"f4df59a8c12585230eb5f12825865a34",1411180,"Laboratório de Programação I",2004,1,5.9,FALSE
"a9055cef6c35bb31339524ae9f33c85e",1109103,"Cálculo Diferencial e Integral I",2004,1,NA,FALSE
"a9055cef6c35bb31339524ae9f33c85e",1411167,"Programação I",2004,1,NA,FALSE
"a9055cef6c35bb31339524ae9f33c85e",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,NA,FALSE
"a9055cef6c35bb31339524ae9f33c85e",1411180,"Laboratório de Programação I",2004,1,NA,FALSE
"a9055cef6c35bb31339524ae9f33c85e",1307151,"Leitura e Produção de Textos",2004,1,NA,FALSE
"a9055cef6c35bb31339524ae9f33c85e",1411174,"Introdução à Computação",2004,1,NA,FALSE
"986da89129351de72681bc246ea41304",1109103,"Cálculo Diferencial e Integral I",2004,1,7.3,FALSE
"986da89129351de72681bc246ea41304",1411167,"Programação I",2004,1,7.4,FALSE
"986da89129351de72681bc246ea41304",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.6,FALSE
"986da89129351de72681bc246ea41304",1307151,"Leitura e Produção de Textos",2004,1,7.7,FALSE
"986da89129351de72681bc246ea41304",1411174,"Introdução à Computação",2004,1,8,FALSE
"4b70b1dfae0eafd9c8dfa873a2cc4b7c",1109103,"Cálculo Diferencial e Integral I",2004,1,7.5,FALSE
"4b70b1dfae0eafd9c8dfa873a2cc4b7c",1411167,"Programação I",2004,1,6.7,FALSE
"4b70b1dfae0eafd9c8dfa873a2cc4b7c",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.9,FALSE
"4b70b1dfae0eafd9c8dfa873a2cc4b7c",1411180,"Laboratório de Programação I",2004,1,5,FALSE
"4b70b1dfae0eafd9c8dfa873a2cc4b7c",1307151,"Leitura e Produção de Textos",2004,1,7.9,FALSE
"4b70b1dfae0eafd9c8dfa873a2cc4b7c",1411174,"Introdução à Computação",2004,1,8.3,FALSE
"e7bc8baa2a7a3e0c8b57f261c0bd5561",1109103,"Cálculo Diferencial e Integral I",2004,1,6.3,FALSE
"e7bc8baa2a7a3e0c8b57f261c0bd5561",1411167,"Programação I",2004,1,6,FALSE
"e7bc8baa2a7a3e0c8b57f261c0bd5561",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.1,FALSE
"e7bc8baa2a7a3e0c8b57f261c0bd5561",1307151,"Leitura e Produção de Textos",2004,1,8.8,FALSE
"405a10983c33dba15bdaad6e806e38c6",1109103,"Cálculo Diferencial e Integral I",2004,1,8,FALSE
"405a10983c33dba15bdaad6e806e38c6",1411167,"Programação I",2004,1,5.3,FALSE
"190d045c609f223df26bce7382e57ae7",1307151,"Leitura e Produção de Textos",2004,1,8.7,FALSE
"190d045c609f223df26bce7382e57ae7",1411174,"Introdução à Computação",2004,1,8.1,FALSE
"be646ae655c2db03005477795a8779d4",1411167,"Programação I",2004,1,8,FALSE
"be646ae655c2db03005477795a8779d4",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.5,FALSE
"be646ae655c2db03005477795a8779d4",1411180,"Laboratório de Programação I",2004,1,9.3,FALSE
"be646ae655c2db03005477795a8779d4",1307151,"Leitura e Produção de Textos",2004,1,8,FALSE
"c34607fa820cddaed5aafda34096e636",1411167,"Programação I",2004,1,6.9,FALSE
"c34607fa820cddaed5aafda34096e636",1411180,"Laboratório de Programação I",2004,1,8.8,FALSE
"c34607fa820cddaed5aafda34096e636",1307151,"Leitura e Produção de Textos",2004,1,8.1,FALSE
"c34607fa820cddaed5aafda34096e636",1411174,"Introdução à Computação",2004,1,7.4,FALSE
"4fadad084329895f30ef90aa56b4142e",1109103,"Cálculo Diferencial e Integral I",2004,1,7.9,FALSE
"da0d3f509693f4dd4a3f4ea47524756f",1109103,"Cálculo Diferencial e Integral I",2004,1,2.3,FALSE
"da0d3f509693f4dd4a3f4ea47524756f",1411167,"Programação I",2004,1,5.7,FALSE
"da0d3f509693f4dd4a3f4ea47524756f",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,6.5,FALSE
"da0d3f509693f4dd4a3f4ea47524756f",1411180,"Laboratório de Programação I",2004,1,5.7,FALSE
"da0d3f509693f4dd4a3f4ea47524756f",1307151,"Leitura e Produção de Textos",2004,1,7.6,FALSE
"da0d3f509693f4dd4a3f4ea47524756f",1411174,"Introdução à Computação",2004,1,6.5,FALSE
"fe6b5bf57ea13011bd4645a3e0fabc50",1109103,"Cálculo Diferencial e Integral I",2004,1,7.8,FALSE
"fe6b5bf57ea13011bd4645a3e0fabc50",1411167,"Programação I",2004,1,9.2,FALSE
"fe6b5bf57ea13011bd4645a3e0fabc50",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,9.5,FALSE
"fe6b5bf57ea13011bd4645a3e0fabc50",1307151,"Leitura e Produção de Textos",2004,1,8.3,FALSE
"fe6b5bf57ea13011bd4645a3e0fabc50",1411174,"Introdução à Computação",2004,1,9.2,FALSE
"e7eae622042a09d78a6cee5510a60fad",1109103,"Cálculo Diferencial e Integral I",2004,1,7,FALSE
"e7eae622042a09d78a6cee5510a60fad",1411167,"Programação I",2004,1,5.7,FALSE
"e7eae622042a09d78a6cee5510a60fad",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,9,FALSE
"e7eae622042a09d78a6cee5510a60fad",1307151,"Leitura e Produção de Textos",2004,1,7,FALSE
"e7eae622042a09d78a6cee5510a60fad",1411174,"Introdução à Computação",2004,1,8.6,FALSE
"ff42e040917c974939abb48f3f910e4b",1109103,"Cálculo Diferencial e Integral I",2004,1,7.5,FALSE
"ff42e040917c974939abb48f3f910e4b",1411167,"Programação I",2004,1,8.1,FALSE
"ff42e040917c974939abb48f3f910e4b",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.3,FALSE
"ff42e040917c974939abb48f3f910e4b",1307151,"Leitura e Produção de Textos",2004,1,7.1,FALSE
"ff42e040917c974939abb48f3f910e4b",1411174,"Introdução à Computação",2004,1,8.8,FALSE
"e7bc8baa2a7a3e0c8b57f261c0bd5561",1411174,"Introdução à Computação",2004,1,8,FALSE
"b3eda912210e354838d99291c93b4aa8",1109103,"Cálculo Diferencial e Integral I",2004,1,5.5,FALSE
"b3eda912210e354838d99291c93b4aa8",1411167,"Programação I",2004,1,7,FALSE
"b3eda912210e354838d99291c93b4aa8",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.9,FALSE
"b3eda912210e354838d99291c93b4aa8",1411180,"Laboratório de Programação I",2004,1,7.9,FALSE
"b3eda912210e354838d99291c93b4aa8",1307151,"Leitura e Produção de Textos",2004,1,7,FALSE
"b3eda912210e354838d99291c93b4aa8",1411174,"Introdução à Computação",2004,1,8.4,FALSE
"9b0f385f6ece1210585558fcaf06a803",1109103,"Cálculo Diferencial e Integral I",2004,1,NA,FALSE
"9b0f385f6ece1210585558fcaf06a803",1411167,"Programação I",2004,1,NA,FALSE
"9b0f385f6ece1210585558fcaf06a803",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,NA,FALSE
"9b0f385f6ece1210585558fcaf06a803",1411180,"Laboratório de Programação I",2004,1,NA,FALSE
"9b0f385f6ece1210585558fcaf06a803",1307151,"Leitura e Produção de Textos",2004,1,NA,FALSE
"9b0f385f6ece1210585558fcaf06a803",1411174,"Introdução à Computação",2004,1,NA,FALSE
"f93566ecf3b2e52c15f92553afc0a52b",1109103,"Cálculo Diferencial e Integral I",2004,1,6.7,FALSE
"f93566ecf3b2e52c15f92553afc0a52b",1411167,"Programação I",2004,1,7.1,FALSE
"f93566ecf3b2e52c15f92553afc0a52b",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,8.4,FALSE
"f93566ecf3b2e52c15f92553afc0a52b",1411180,"Laboratório de Programação I",2004,1,6,FALSE
"f93566ecf3b2e52c15f92553afc0a52b",1307151,"Leitura e Produção de Textos",2004,1,7.1,FALSE
"f93566ecf3b2e52c15f92553afc0a52b",1411174,"Introdução à Computação",2004,1,7.7,FALSE
"0f2c1d48cd3572af2c4d9f927d16ffcd",1109103,"Cálculo Diferencial e Integral I",2004,1,6.9,FALSE
"0f2c1d48cd3572af2c4d9f927d16ffcd",1411167,"Programação I",2004,1,8.2,FALSE
"0f2c1d48cd3572af2c4d9f927d16ffcd",1109035,"Álgebra Vetorial e Geometria Analítica",2004,1,7.5,FALSE
"0f2c1d48cd3572af2c4d9f927d16ffcd",1307151,"Leitura e Produção de Textos",2004,1,8.4,FALSE
"0f2c1d48cd3572af2c4d9f927d16ffcd",1411174,"Introdução à Computação",2004,1,7,FALSE
"8f1f1232b27639960bafce2c17a4a7cf",1307151,"Leitura e Produção de Textos",2003,2,7.5,FALSE
"b8625f03fbd684818939e6c492bb66b2",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,5.4,FALSE
"b8625f03fbd684818939e6c492bb66b2",1109103,"Cálculo Diferencial e Integral I",2003,2,3.1,FALSE
"b8625f03fbd684818939e6c492bb66b2",1411167,"Programação I",2003,2,7,FALSE
"b8625f03fbd684818939e6c492bb66b2",1411174,"Introdução à Computação",2003,2,7.6,FALSE
"b8625f03fbd684818939e6c492bb66b2",1307151,"Leitura e Produção de Textos",2003,2,9.4,FALSE
"3d062df814e8e7a031ba15db660d1f53",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,5,FALSE
"3d062df814e8e7a031ba15db660d1f53",1109103,"Cálculo Diferencial e Integral I",2003,2,1.2,FALSE
"3d062df814e8e7a031ba15db660d1f53",1411167,"Programação I",2003,2,8.5,FALSE
"3d062df814e8e7a031ba15db660d1f53",1411174,"Introdução à Computação",2003,2,9.4,FALSE
"3d062df814e8e7a031ba15db660d1f53",1307151,"Leitura e Produção de Textos",2003,2,9.6,FALSE
"75b2d8b117658009f3d13b518906aa40",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7.4,FALSE
"75b2d8b117658009f3d13b518906aa40",1109103,"Cálculo Diferencial e Integral I",2003,2,5,FALSE
"75b2d8b117658009f3d13b518906aa40",1411167,"Programação I",2003,2,6.6,FALSE
"75b2d8b117658009f3d13b518906aa40",1411174,"Introdução à Computação",2003,2,7.7,FALSE
"75b2d8b117658009f3d13b518906aa40",1411180,"Laboratório de Programação I",2003,2,7.2,FALSE
"75b2d8b117658009f3d13b518906aa40",1307151,"Leitura e Produção de Textos",2003,2,7,FALSE
"fdccbd6aa6d1282eaa2b3f09f6f54cde",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,6.1,FALSE
"fdccbd6aa6d1282eaa2b3f09f6f54cde",1109103,"Cálculo Diferencial e Integral I",2003,2,5.3,FALSE
"fdccbd6aa6d1282eaa2b3f09f6f54cde",1411167,"Programação I",2003,2,5,FALSE
"fdccbd6aa6d1282eaa2b3f09f6f54cde",1411174,"Introdução à Computação",2003,2,8,FALSE
"fdccbd6aa6d1282eaa2b3f09f6f54cde",1411180,"Laboratório de Programação I",2003,2,5.6,FALSE
"a36bed85026d3e00f984475e98d35c60",1411174,"Introdução à Computação",2003,2,7,FALSE
"fdccbd6aa6d1282eaa2b3f09f6f54cde",1307151,"Leitura e Produção de Textos",2003,2,7.3,FALSE
"c6d323c3005e8c754022ade2c1389215",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7.3,FALSE
"c6d323c3005e8c754022ade2c1389215",1109103,"Cálculo Diferencial e Integral I",2003,2,5,FALSE
"c6d323c3005e8c754022ade2c1389215",1411174,"Introdução à Computação",2003,2,8.2,FALSE
"c6d323c3005e8c754022ade2c1389215",1307151,"Leitura e Produção de Textos",2003,2,7.2,FALSE
"33add553cc41c218f1c121e05ca39e6f",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7,FALSE
"33add553cc41c218f1c121e05ca39e6f",1109103,"Cálculo Diferencial e Integral I",2003,2,7,FALSE
"33add553cc41c218f1c121e05ca39e6f",1411167,"Programação I",2003,2,7,FALSE
"33add553cc41c218f1c121e05ca39e6f",1411174,"Introdução à Computação",2003,2,8.6,FALSE
"33add553cc41c218f1c121e05ca39e6f",1411180,"Laboratório de Programação I",2003,2,8.3,FALSE
"33add553cc41c218f1c121e05ca39e6f",1307151,"Leitura e Produção de Textos",2003,2,7.6,FALSE
"c9a98a6043921011b825c2799375f3a9",1411167,"Programação I",2003,2,7,FALSE
"c9a98a6043921011b825c2799375f3a9",1411174,"Introdução à Computação",2003,2,7.8,FALSE
"c6d323c3005e8c754022ade2c1389215",1411167,"Programação I",2003,2,4.5,FALSE
"a36bed85026d3e00f984475e98d35c60",1411180,"Laboratório de Programação I",2003,2,7.2,FALSE
"a36bed85026d3e00f984475e98d35c60",1307151,"Leitura e Produção de Textos",2003,2,7.9,FALSE
"bc43766b2134ab22d3a9cfab7637f617",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,0,FALSE
"bc43766b2134ab22d3a9cfab7637f617",1109103,"Cálculo Diferencial e Integral I",2003,2,0,FALSE
"bc43766b2134ab22d3a9cfab7637f617",1411167,"Programação I",2003,2,3,FALSE
"bc43766b2134ab22d3a9cfab7637f617",1411174,"Introdução à Computação",2003,2,3.8,FALSE
"bc43766b2134ab22d3a9cfab7637f617",1307151,"Leitura e Produção de Textos",2003,2,7,FALSE
"6997fbf7c7a1a62775e30cc18cfc4b60",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7.2,FALSE
"6997fbf7c7a1a62775e30cc18cfc4b60",1109103,"Cálculo Diferencial e Integral I",2003,2,7,FALSE
"6997fbf7c7a1a62775e30cc18cfc4b60",1411167,"Programação I",2003,2,5.8,FALSE
"6997fbf7c7a1a62775e30cc18cfc4b60",1411174,"Introdução à Computação",2003,2,8.5,FALSE
"6997fbf7c7a1a62775e30cc18cfc4b60",1307151,"Leitura e Produção de Textos",2003,2,7,FALSE
"f5808f0e3215e1662885d8a3a05b0f92",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7,FALSE
"f5808f0e3215e1662885d8a3a05b0f92",1109103,"Cálculo Diferencial e Integral I",2003,2,3.5,FALSE
"f5808f0e3215e1662885d8a3a05b0f92",1411167,"Programação I",2003,2,3.5,FALSE
"f5808f0e3215e1662885d8a3a05b0f92",1411174,"Introdução à Computação",2003,2,7,FALSE
"f5808f0e3215e1662885d8a3a05b0f92",1411180,"Laboratório de Programação I",2003,2,4,FALSE
"f5808f0e3215e1662885d8a3a05b0f92",1307151,"Leitura e Produção de Textos",2003,2,7.5,FALSE
"eb3164ce7738b9308a320023ad02843b",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,5.6,FALSE
"eb3164ce7738b9308a320023ad02843b",1109103,"Cálculo Diferencial e Integral I",2003,2,2.8,FALSE
"eb3164ce7738b9308a320023ad02843b",1411167,"Programação I",2003,2,7.2,FALSE
"eb3164ce7738b9308a320023ad02843b",1411174,"Introdução à Computação",2003,2,8.3,FALSE
"eb3164ce7738b9308a320023ad02843b",1411180,"Laboratório de Programação I",2003,2,8.1,FALSE
"eb3164ce7738b9308a320023ad02843b",1307151,"Leitura e Produção de Textos",2003,2,7.4,FALSE
"f36f436553e8528d473217f3238a7804",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7,FALSE
"f36f436553e8528d473217f3238a7804",1109103,"Cálculo Diferencial e Integral I",2003,2,5.8,FALSE
"f36f436553e8528d473217f3238a7804",1411167,"Programação I",2003,2,7.7,FALSE
"f36f436553e8528d473217f3238a7804",1411174,"Introdução à Computação",2003,2,8.5,FALSE
"ffea63ad4eda67c8640b9eb6aae09758",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,5.4,FALSE
"ffea63ad4eda67c8640b9eb6aae09758",1109103,"Cálculo Diferencial e Integral I",2003,2,1,FALSE
"ffea63ad4eda67c8640b9eb6aae09758",1411167,"Programação I",2003,2,0,FALSE
"ffea63ad4eda67c8640b9eb6aae09758",1411174,"Introdução à Computação",2003,2,7,FALSE
"ffea63ad4eda67c8640b9eb6aae09758",1411180,"Laboratório de Programação I",2003,2,0.9,FALSE
"ffea63ad4eda67c8640b9eb6aae09758",1307151,"Leitura e Produção de Textos",2003,2,6.5,FALSE
"6c2d4e5cce23ca5eec4ab24ed0d818d3",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,6,FALSE
"6c2d4e5cce23ca5eec4ab24ed0d818d3",1109103,"Cálculo Diferencial e Integral I",2003,2,5.3,FALSE
"6c2d4e5cce23ca5eec4ab24ed0d818d3",1411167,"Programação I",2003,2,9,FALSE
"6c2d4e5cce23ca5eec4ab24ed0d818d3",1411174,"Introdução à Computação",2003,2,8.9,FALSE
"6c2d4e5cce23ca5eec4ab24ed0d818d3",1307151,"Leitura e Produção de Textos",2003,2,8,FALSE
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,7,FALSE
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",1109103,"Cálculo Diferencial e Integral I",2003,2,5,FALSE
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",1411167,"Programação I",2003,2,7.6,FALSE
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",1411174,"Introdução à Computação",2003,2,8.2,FALSE
"14e0f16cf4bfbd40d8dd7d29a2c2eff7",1307151,"Leitura e Produção de Textos",2003,2,7.2,FALSE
"c9a98a6043921011b825c2799375f3a9",1109103,"Cálculo Diferencial e Integral I",2003,2,8,FALSE
"c9a98a6043921011b825c2799375f3a9",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,10,FALSE
"b0097a01d0579cdd20b15c03b62d7309",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,5.4,FALSE
"b0097a01d0579cdd20b15c03b62d7309",1109103,"Cálculo Diferencial e Integral I",2003,2,0.8,FALSE
"b0097a01d0579cdd20b15c03b62d7309",1411167,"Programação I",2003,2,7,FALSE
"b0097a01d0579cdd20b15c03b62d7309",1411174,"Introdução à Computação",2003,2,8.5,FALSE
"b0097a01d0579cdd20b15c03b62d7309",1307151,"Leitura e Produção de Textos",2003,2,7.7,FALSE
"da70c6a19f191eb480bc2621bd42d041",1109035,"Álgebra Vetorial e Geometria Analítica",2003,2,3.3,FALSE
"da70c6a19f191eb480bc2621bd42d041",1109103,"Cálculo Diferencial e Integral I",2003,2,0.8,FALSE
"da70c6a19f191eb480bc2621bd42d041",1411167,"Programação I",2003,2,0,FALSE
"da70c6a19f191eb480bc2621bd42d041",1411174,"Introdução à Computação",2003,2,6.2,FALSE
"da70c6a19f191eb480bc2621bd42d041",1411180,"Laboratório de Programação I",2003,2,2,FALSE
"da70c6a19f191eb480bc2621bd42d041",1307151,"Leitura e Produção de Textos",2003,2,5.3,FALSE
